shelter_name,shelter_id,latitude,longitude,gen,bez,nuts,nuts2,bundesland
Frauenhaus Speyer,2174,49.322620194502,8.429573035315,Speyer,Kreisfreie Stadt,DEB38,DEB,Rheinland-Pfalz
Autonomes Frauenhaus Trier,2137,49.749992,6.6371433,Trier,Kreisfreie Stadt,DEB21,DEB,Rheinland-Pfalz
Frauenhaus Ahrweiler,2412,50.541523495852,7.120312435242,Ahrweiler,Landkreis,DEB12,DEB,Rheinland-Pfalz
Frauenhaus Lila Villa e.V.,2409,49.4612447,8.1705981,Bad Dürkheim,Landkreis,DEB3C,DEB,Rheinland-Pfalz
Frauenhaus Koblenz,2413,50.350559513859,7.592017311078,Koblenz,Kreisfreie Stadt,DEB11,DEB,Rheinland-Pfalz
Frauenhaus Ludwigshafen,2415,49.479714236326,8.449962862506,Ludwigshafen am Rhein,Kreisfreie Stadt,DEB34,DEB,Rheinland-Pfalz
Frauenhaus Mainz,2411,49.986824590308,8.271431806591,Mainz,Kreisfreie Stadt,DEB35,DEB,Rheinland-Pfalz
Frauenhaus Worms,2410,49.6238729,8.359877471689,Worms,Kreisfreie Stadt,DEB39,DEB,Rheinland-Pfalz
Frauenhaus Pirmasens,2417,49.206297144295,7.5975454991269995,Pirmasens,Kreisfreie Stadt,DEB37,DEB,Rheinland-Pfalz
Frauenhaus Westerwald,2416,50.66442060915,7.821671710156,Westerwaldkreis,Landkreis,DEB1B,DEB,Rheinland-Pfalz
Frauenhaus Mayen-Koblenz,2426,50.325712347282,7.2284572929,Mayen-Koblenz,Landkreis,DEB17,DEB,Rheinland-Pfalz
Frauen- und Kinderschutzhaus Ammerland Wesermarsch,2309,53.186117454157,8.002655371563,Ammerland,Landkreis,DE946,DE9,Niedersachsen
Frauenhaus AWO Kreisverband Braunschweig e.V.,2160,52.2646577,10.5236066,Braunschweig,Kreisfreie Stadt,DE911,DE9,Niedersachsen
AWO-Frauenhaus im Landkreis Harburg,2386,53.360527316544,9.825140798087,Harburg,Landkreis,DE933,DE9,Niedersachsen
Autonomes Frauenhaus Celle,2041,52.620867,10.0626059,Celle,Landkreis,DE931,DE9,Niedersachsen
Frauenhaus Emden,2088,53.366076745762,7.207059748026,Emden,Kreisfreie Stadt,DE942,DE9,Niedersachsen
Frauenhaus des Caritasverbandes für Stadt und Landkreis Gifhorn,2285,52.484496766686,10.540274633294,Gifhorn,Landkreis,DE914,DE9,Niedersachsen
Frauenhaus Hameln e.V.,2113,52.105920892881,9.364572592101,Hameln-Pyrmont,Landkreis,DE923,DE9,Niedersachsen
Frauen- und Kinderschutzhaus Hannover,2085,52.365613497692,9.755097172235,Region Hannover,Landkreis,DE929,DE9,Niedersachsen
Sofortaufnahme für gewaltbetroffene Frauen und ihre Kinder - Frauenhaus24 Hannover,2011,52.377057435404,9.736999308768,Region Hannover,Landkreis,DE929,DE9,Niedersachsen
Frauenhaus Hannover - Frauen helfen Frauen e.V.,2013,52.377210097868,9.745326084829,Region Hannover,Landkreis,DE929,DE9,Niedersachsen
AWO Frauenhaus,2297,52.3744779,9.7385532,Region Hannover,Landkreis,DE929,DE9,Niedersachsen
Frauenschutzhaus Helmstedt,2290,52.232426476168,11.004057698082,Helmstedt,Landkreis,DE917,DE9,Niedersachsen
Frauenhaus Hildesheim e.V.,2194,52.152522919656,9.950775478638,Hildesheim,Landkreis,DE925,DE9,Niedersachsen
Frauenhaus Lüchow,2371,52.969714748761,11.15518272981,Lüchow-Dannenberg,Landkreis,DE934,DE9,Niedersachsen
Autonomes Frauenhaus Lüneburg,2066,53.2497728,10.4197721,Lüneburg,Landkreis,DE935,DE9,Niedersachsen
Frauenhaus,2401,52.6380924,9.2084155,Nienburg (Weser),Landkreis,DE927,DE9,Niedersachsen
Autonomes Frauenhaus Oldenburg e.V.,2136,53.139855192327,8.227910833021,Oldenburg (Oldb),Kreisfreie Stadt,DE943,DE9,Niedersachsen
Autonomes Frauenhaus Osnabrück,2089,52.274435951938,8.04727121527,Osnabrück,Kreisfreie Stadt,DE944,DE9,Niedersachsen
Frauenhaus Salzgitter,2128,52.159624591925,10.331093344387,Salzgitter,Kreisfreie Stadt,DE912,DE9,Niedersachsen
AWO Frauenhaus Schaumburg,2353,52.31830254248,9.204289693607,Schaumburg,Landkreis,DE928,DE9,Niedersachsen
Frauen- und Kinderhaus e.V. Uelzen,2084,52.964904113123,10.562643359678,Uelzen,Landkreis,DE93A,DE9,Niedersachsen
FrauenschutzHaus Wolfenbüttel,2306,52.1625283,10.5348215,Wolfenbüttel,Landkreis,DE91B,DE9,Niedersachsen
Wolfsburger Frauenhaus,2383,52.421175871211,10.79371507002,Wolfsburg,Kreisfreie Stadt,DE913,DE9,Niedersachsen
Frauen- und Kinderschutzhaus des Landkreises Oldenburg,2429,52.903874494874,8.445246410384,Oldenburg,Landkreis,DE94D,DE9,Niedersachsen
Goslarer Frauenhaus e.V.,2457,51.905936897584,10.429016418709,Goslar,Landkreis,DE916,DE9,Niedersachsen
Frauenhaus Northeim,2468,51.708197825579,9.999778867737,Northeim,Landkreis,DE918,DE9,Niedersachsen
Frauenhaus Gifhorn,2513,52.5031666,10.5145813,Gifhorn,Landkreis,DE914,DE9,Niedersachsen
Frauen- und Kinderschutzhaus Baden-Baden u. Landkreis Rastatt,2186,48.776510561174,8.2181331745,Baden-Baden,Stadtkreis,DE121,DE1,Baden-Württemberg
Beratung für Frauen/Frauenschutzhaus Biberach,2360,48.093565642996,9.786809486456,Biberach,Landkreis,DE146,DE1,Baden-Württemberg
Frauenhäuser Geschütztes Wohnen,2327,49.104470848914,8.5913541328,Karlsruhe,Landkreis,DE123,DE1,Baden-Württemberg
Frauenhaus im Landkreis Calw,2100,48.714306559169,8.741623063857,Calw,Landkreis,DE12A,DE1,Baden-Württemberg
Frauenhaus Esslingen,2065,48.741421196937,9.310220283594,Esslingen,Landkreis,DE113,DE1,Baden-Württemberg
Frauen - und Kinderschutzhaus Filder,2080,48.663256354141,9.219398527189,Esslingen,Landkreis,DE113,DE1,Baden-Württemberg
Frauen- und Kinderschutzhaus Freiburg,2092,48.0327354,7.857524774655,Freiburg im Breisgau,Stadtkreis,DE131,DE1,Baden-Württemberg
Frauenhaus Freudenstadt,2215,48.473534333796,8.420503660913,Freudenstadt,Landkreis,DE12C,DE1,Baden-Württemberg
HerA,2164,48.708166939802,9.652732009254,Göppingen,Landkreis,DE114,DE1,Baden-Württemberg
Frauen- und Kinderhilfe Göppingen,2097,48.705872999684,9.649685019812999,Göppingen,Landkreis,DE114,DE1,Baden-Württemberg
Frauen helfen Frauen e.V. Heidelberg,2152,49.38167105,8.677039550252,Heidelberg,Stadtkreis,DE125,DE1,Baden-Württemberg
Frauen- und Kinderschutzhaus Heidenheim,2239,48.682679502339,10.139461490017,Heidenheim,Landkreis,DE11C,DE1,Baden-Württemberg
Frauen- und Kinderschutzhaus Heilbronn,2126,49.140048540701,9.219636925251,Heilbronn,Stadtkreis,DE117,DE1,Baden-Württemberg
Autonomes Frauenhaus Heilbronn,2259,49.131106886991,9.228034832273,Heilbronn,Stadtkreis,DE117,DE1,Baden-Württemberg
Frauenhaus,2341,49.0068705,8.4034195,Karlsruhe,Stadtkreis,DE122,DE1,Baden-Württemberg
Frauenhaus SkF Karlsruhe,2212,49.010942043401,8.392288331104,Karlsruhe,Stadtkreis,DE122,DE1,Baden-Württemberg
Frauenhaus Kirchheim,2400,48.645245834595,9.452797210129,Esslingen,Landkreis,DE113,DE1,Baden-Württemberg
Frauenhaus Kirchheim,2173,48.645195802054,9.452899259968,Esslingen,Landkreis,DE113,DE1,Baden-Württemberg
Autonomes Frauenhaus Lörrach,2075,47.602006174985,7.6622878822819995,Lörrach,Landkreis,DE139,DE1,Baden-Württemberg
Frauenhaus Ludwigsburg,2223,48.905138982478,9.175657488432,Ludwigsburg,Landkreis,DE115,DE1,Baden-Württemberg
Mannheimer Frauenhaus,2131,49.546312398996,8.461605604247,Mannheim,Stadtkreis,DE126,DE1,Baden-Württemberg
Frauen- und Kinderschutzhaus Heckertstift,2008,49.492173028558,8.452588097834,Mannheim,Stadtkreis,DE126,DE1,Baden-Württemberg
Frauen- und Kinderschutzhaus Neckar-Odenwald-Kreis,2234,49.3489153,9.1293829,Neckar-Odenwald-Kreis,Landkreis,DE127,DE1,Baden-Württemberg
Frauenhaus Ortenau,2235,48.472922532591,7.96749836209,Ortenaukreis,Landkreis,DE134,DE1,Baden-Württemberg
Ökumenisches Frauenhaus Pforzheim,2204,48.8667572,8.7531246,Pforzheim,Stadtkreis,DE129,DE1,Baden-Württemberg
Frauen- und Kinderschutzhaus Radolfzell,2258,47.7409243,8.955847834383,Konstanz,Landkreis,DE138,DE1,Baden-Württemberg
Frauen- und Kinderschutzhaus,2268,47.764202227177,9.604661644156,Ravensburg,Landkreis,DE148,DE1,Baden-Württemberg
Frauenhaus Reutlingen,2245,48.490244306328,9.22265822019,Reutlingen,Landkreis,DE141,DE1,Baden-Württemberg
Frauen- und Kinderschutzeinrichtung,2159,48.8009955981,9.788703360852,Ostalbkreis,Landkreis,DE11D,DE1,Baden-Württemberg
Frauen-und Kinderschutzhaus Schwäbisch Hall,2176,49.112065275931,9.732801718754,Schwäbisch Hall,Landkreis,DE11A,DE1,Baden-Württemberg
Frauenhaus Singen,2237,47.762044359329,8.853405053013,Konstanz,Landkreis,DE138,DE1,Baden-Württemberg
Autonomes Frauenhaus Stuttgart,2078,48.763984707357,9.174786993125,Stuttgart,Stadtkreis,DE111,DE1,Baden-Württemberg
Städtisches Frauenhaus Stuttgart,2197,48.76986235,9.211651935853,Stuttgart,Stadtkreis,DE111,DE1,Baden-Württemberg
Autonomes Frauenhaus Tübingen,2012,48.52057725995,9.025027129822,Tübingen,Landkreis,DE142,DE1,Baden-Württemberg
Frauen-und Kinderschutzhaus Tuttlingen,2254,47.978972871,8.814629638902,Tuttlingen,Landkreis,DE137,DE1,Baden-Württemberg
Frauenhaus Alb-Donau-Kreis,2314,48.401878420682,9.995374632586,Ulm,Stadtkreis,DE144,DE1,Baden-Württemberg
Frauenhaus Ulm,2230,48.402932597842,9.999279928912,Ulm,Stadtkreis,DE144,DE1,Baden-Württemberg
Frauen helfen Frauen Schwarzwald Baar e.V.,2262,48.05923605,8.462281102255,Schwarzwald-Baar-Kreis,Landkreis,DE136,DE1,Baden-Württemberg
Frauen- und Kinderschutzhaus Rems-Murr-Kreis,2206,48.830787760572,9.325598847299,Rems-Murr-Kreis,Landkreis,DE116,DE1,Baden-Württemberg
Frauen- und Kinderschutzhaus im Hohenlohekreis,2222,49.181288581991,9.637402053841999,Hohenlohekreis,Landkreis,DE119,DE1,Baden-Württemberg
Frauen- und Kinderschutzhaus Waldshut,2101,47.635706238259,8.272258305191,Waldshut,Landkreis,DE13A,DE1,Baden-Württemberg
Schutzwohnung im Rhein-Neckar-Kreis,2271,49.54620451729,8.649864854517,Rhein-Neckar-Kreis,Landkreis,DE128,DE1,Baden-Württemberg
Frauenhaus Zollernalbkreis,2046,48.269484562955,8.94737584922,Zollernalbkreis,Landkreis,DE143,DE1,Baden-Württemberg
Frauen- und Kinderschutzhaus Konstanz,2408,47.681740847498,9.158822455441,Konstanz,Landkreis,DE138,DE1,Baden-Württemberg
"Frauen und Kinderschutzhaus Baden-Baden, Landkreis Rastatt",2432,48.766436,8.244599718105,Baden-Baden,Stadtkreis,DE121,DE1,Baden-Württemberg
Schutzraum SEGEL Mannheim,2458,49.493452209363,8.468547144257,Mannheim,Stadtkreis,DE126,DE1,Baden-Württemberg
Frauen- und Kinderschutzhaus Sigmaringen,2462,48.086971599501,9.214495963747,Sigmaringen,Landkreis,DE149,DE1,Baden-Württemberg
Mannheimer Frauenhaus,2459,49.546312398996,8.461605604247,Mannheim,Stadtkreis,DE126,DE1,Baden-Württemberg
Frauen- und Kinderschutzhaus Heidenheim,2481,48.68534546242,10.140460950757,Heidenheim,Landkreis,DE11C,DE1,Baden-Württemberg
Beratungsstelle für Betroffene von häuslicher Gewalt,2190,54.4151606,13.425834,Vorpommern-Rügen,Landkreis,DE80L,DE8,Mecklenburg-Vorpommern
Frauenhaus Greifswald,2146,54.08939506011,13.379945601414,Vorpommern-Greifswald,Landkreis,DE80N,DE8,Mecklenburg-Vorpommern
Frauenschutzhaus,2219,53.793364322518,12.181076883324,Rostock,Landkreis,DE80K,DE8,Mecklenburg-Vorpommern
AWO Frauenhaus Ludwigslust,2148,53.3244914,11.4969238,Ludwigslust-Parchim,Landkreis,DE80O,DE8,Mecklenburg-Vorpommern
Frauen- und Kinderschutzhaus Neubrandenburg,2216,53.557445799999996,13.2602781,Mecklenburgische Seenplatte,Landkreis,DE80J,DE8,Mecklenburg-Vorpommern
Autonomes Frauenhaus Rostock,2163,54.052138471041,12.10428681682,Rostock,Landkreis,DE80K,DE8,Mecklenburg-Vorpommern
Frauen in Not-Frauenhaus,2061,53.627833083723,11.405380088953,Schwerin,Kreisfreie Stadt,DE804,DE8,Mecklenburg-Vorpommern
AWO Frauenschutzhaus Stralsund,2172,54.3161903,13.0950601,Vorpommern-Rügen,Landkreis,DE80L,DE8,Mecklenburg-Vorpommern
Frauenschutzhaus,2132,53.8965859,11.4695121,Nordwestmecklenburg,Landkreis,DE80M,DE8,Mecklenburg-Vorpommern
Hestia-Zufluchtswohnungen Wedding,2051,52.54108405,13.389616050162,Berlin,Kreisfreie Stadt,DE300,DE3,Berlin
Zufluchtswohung Matilde,2060,52.53713195,13.610523076316,Berlin,Kreisfreie Stadt,DE300,DE3,Berlin
Frauenzentrum Paula Panke e.V. - Zufluchtswohnung,2068,52.56961735,13.403536522993,Berlin,Kreisfreie Stadt,DE300,DE3,Berlin
Frauenzimmer e.V.,2082,52.4836896,13.352822090579,Berlin,Kreisfreie Stadt,DE300,DE3,Berlin
BORA Frauenhaus,2345,52.5050416,13.362846383345,Berlin,Kreisfreie Stadt,DE300,DE3,Berlin
Hestia Zufluchtswohnungen Prenzlauer Berg,2096,52.5355509,13.425688849992,Berlin,Kreisfreie Stadt,DE300,DE3,Berlin
Caritas-Frauenhaus,2098,52.559654245315,13.370605613927,Berlin,Kreisfreie Stadt,DE300,DE3,Berlin
Hestia Frauenhaus,2102,52.5034002,13.3386373,Berlin,Kreisfreie Stadt,DE300,DE3,Berlin
2. Autonomes Frauenhaus Berlin,2274,52.516226925016,13.377744825842,Berlin,Kreisfreie Stadt,DE300,DE3,Berlin
BIG Hotline - Beratung und Vermittlung,2281,52.5170365,13.3888599,Berlin,Kreisfreie Stadt,DE300,DE3,Berlin
offensiv´91 e.V. Frauenzufluchtswohnung,2037,52.45499615,13.514810051508,Berlin,Kreisfreie Stadt,DE300,DE3,Berlin
Frauenhaus BORA e.V.,2449,52.55712455,13.448277760058,Berlin,Kreisfreie Stadt,DE300,DE3,Berlin
Autonome Frauenschutzeinrichtung Brandenburg an der Havel,2347,52.4155967,12.552183065949,Brandenburg an der Havel,Kreisfreie Stadt,DE401,DE4,Brandenburg
Frauenhaus und Beratungsstelle,2139,52.1448863,14.6294413,Oder-Spree,Landkreis,DE40C,DE4,Brandenburg
Frauenhaus,2109,51.628227951142,13.713308618555,Elbe-Elster,Landkreis,DE407,DE4,Brandenburg
Frauenhaus Frankfurt (Oder),2248,52.343312285202,14.546619410747,Frankfurt (Oder),Kreisfreie Stadt,DE403,DE4,Brandenburg
Frauenhaus Fürstenwalde,2388,52.358683193219,14.065068707361,Oder-Spree,Landkreis,DE40C,DE4,Brandenburg
Frauenhaus Lauchhammer,2346,51.4957085,13.7605753,Oberspreewald-Lausitz,Landkreis,DE40B,DE4,Brandenburg
Frauenhaus Potsdam,2298,52.401823067332,13.060633141753,Potsdam,Kreisfreie Stadt,DE404,DE4,Brandenburg
Beratungs- und Krisenzentrum für Frauen,2122,52.59248315,12.328108634457,Havelland,Landkreis,DE408,DE4,Brandenburg
Frauenhaus Schwedt,2079,53.072867194575,14.277710475059,Uckermark,Landkreis,DE40I,DE4,Brandenburg
Frauenhaus Neuruppin,2340,52.920470743076,12.805888514342,Ostprignitz-Ruppin,Landkreis,DE40D,DE4,Brandenburg
Autonomes Bremer Frauenhaus,2198,53.076516637178,8.80872139115,Bremen,Kreisfreie Stadt,DE501,DE5,Bremen
Frauenhaus Bremerhaven,2369,53.529776471842,8.622328260819,Bremerhaven,Kreisfreie Stadt,DE502,DE5,Bremen
Frauenhaus der AWO Bremen,2431,53.0792962,8.8016937,Bremen,Kreisfreie Stadt,DE501,DE5,Bremen
Frauenhaus Diakonisches Werk Hamburg,2366,53.596621886976,10.018615715002,Hamburg,Kreisfreie Stadt,DE600,DE6,Hamburg
2. Hamburger Frauenhaus e.V.,2367,53.541814575369,9.998572209518,Hamburg,Kreisfreie Stadt,DE600,DE6,Hamburg
6. Autonomes Frauenhaus Hamburg,2381,53.5528284,9.9966396,Hamburg,Kreisfreie Stadt,DE600,DE6,Hamburg
1. &amp 3. Hamburger Frauenhaus,2382,53.5528284,9.9966396,Hamburg,Kreisfreie Stadt,DE600,DE6,Hamburg
24/7 Notaufnahme der Hamburger Frauenhäuser,2039,53.554448,9.991344,Hamburg,Kreisfreie Stadt,DE600,DE6,Hamburg
Frauenhaus Neunkirchen,2010,49.37167025,7.207534594691,Neunkirchen,Landkreis,DEC03,DEC,Saarland
Frauenhaus Saarbrücken,2009,49.234338155586,6.986639524139,Regionalverband Saarbrücken,Landkreis,DEC01,DEC,Saarland
Frauenhaus Saarlouis,2217,49.319469368893,6.753084518304,Saarlouis,Landkreis,DEC04,DEC,Saarland
